spikerate,info,index,genotype,months,.
24.44444444,23.28735046,3,WT,0,
39.33333333,33.09434319,68,WT,0,
50.66666667,34.67711148,69,WT,0,
31.88888889,21.90171319,71,WT,0,
31.33333333,27.26560267,152,WT,0,
11.88888889,14.50405151,155,WT,0,
23.66666667,25.69144739,176,WT,0,
37.55555556,34.12879592,178,WT,0,
31.77777778,22.7474708,188,WT,0,
27.55555556,26.18681819,208,WT,0,
32,21.86293105,222,WT,0,
12.11111111,14.57719508,233,WT,0,
31.77777778,27.68542909,235,WT,0,
67.33333333,20.61522202,257,WT,0,
10.66666667,19.01302035,261,WT,0,
36.66666667,28.69069506,278,WT,0,
31.88888889,22.0360709,282,WT,0,
25,25.76014227,284,WT,0,
35,20.35840754,288,WT,0,
33,32.15527963,291,WT,0,
29.22222222,32.7166899,292,WT,0,
38.33333333,29.98280318,294,WT,0,
38.66666667,20.52076875,295,WT,0,
26.33333333,25.28815431,302,WT,0,
46.33333333,35.75687809,309,WT,0,
36.33333333,25.24039541,322,WT,0,
36.44444444,33.5148243,326,WT,0,
32.77777778,31.83084799,331,WT,0,
9.333333333,17.32291486,337,WT,0,
35.77777778,36.61728615,341,WT,0,
24.55555556,14.27605331,344,WT,0,
44.55555556,28.78455187,345,WT,0,
11.22222222,21.0643274,347,WT,0,
42.44444444,37.37390461,369,WT,0,
11.77777778,18.25883234,373,WT,0,
16.44444444,14.80967604,384,WT,0,
16,14.23074899,385,WT,0,
32.44444444,28.73484846,409,WT,0,
30,32.68779032,410,WT,0,
18.66666667,15.73070387,415,WT,0,
40.66666667,36.39518593,416,WT,0,
32.55555556,28.07858757,417,WT,0,
11.33333333,17.9155843,428,WT,0,
32.55555556,24.43259317,429,WT,0,
38.11111111,30.21323889,432,WT,0,
7.444444444,15.21136077,435,WT,0,
35.66666667,26.83178374,439,WT,0,
53.11111111,40.63528471,440,WT,0,
10.88888889,14.98616133,442,WT,0,
31,23.94846423,467,WT,0,
29.33333333,21.45955858,471,WT,0,
25.88888889,22.67204738,473,WT,0,
19.66666667,15.57620047,475,WT,0,
17.88888889,24.83406523,500,WT,0,
28,24.69948577,541,WT,0,
49.33333333,41.07126034,40,WT,0,
36.88888889,35.38308809,41,WT,0,
38.88888889,36.57391673,48,WT,0,
24.55555556,30.53394339,64,WT,0,
34,36.65010949,91,WT,0,
50.33333333,38.74589389,95,WT,0,
40,42.46575801,100,WT,0,
51.33333333,39.50765691,101,WT,0,
24.22222222,33.88361722,109,WT,0,
28.55555556,29.20809174,111,WT,0,
52.44444444,39.95787414,115,WT,0,
42.22222222,34.99530592,117,WT,0,
23.11111111,33.80894528,126,WT,0,
14.55555556,28.80586393,130,WT,0,
15.33333333,27.26442952,157,WT,0,
40.22222222,31.94300149,170,WT,0,
13.11111111,24.63695078,182,WT,0,
53.55555556,40.85111087,184,WT,0,
33.55555556,37.08482602,193,WT,0,
40.55555556,42.00979298,195,WT,0,
24.66666667,26.60534324,213,WT,0,
54.66666667,47.05146182,223,WT,0,
36.11111111,36.02006757,237,WT,0,
22.44444444,31.78739301,240,WT,0,
21.11111111,30.76063968,241,WT,0,
52.88888889,39.86700609,259,WT,0,
13.11111111,24.10146984,267,WT,0,
47.33333333,42.45030474,280,WT,0,
46.55555556,43.29345127,294,WT,0,
15,25.75146242,296,WT,0,
37.88888889,36.90380324,301,WT,0,
24.55555556,25.25038107,318,WT,0,
33.77777778,30.41225683,320,WT,0,
17.66666667,25.48634595,335,WT,0,
35.33333333,24.24893784,343,WT,0,
54.88888889,25.18065565,362,WT,0,
44.22222222,37.72360988,377,WT,0,
22.44444444,25.88494364,382,WT,0,
26.88888889,31.35233677,389,WT,0,
34.77777778,35.02357343,400,WT,0,
44.77777778,41.25728946,411,WT,0,
26.11111111,29.67347258,446,WT,0,
23.88888889,28.76850939,451,WT,0,
39.22222222,35.77147902,452,WT,0,
43.11111111,37.22154684,461,WT,0,
29.44444444,28.5043212,472,WT,0,
29.22222222,31.93087404,481,WT,0,
